32651608	QED: The Strange Theory of Light and Matter (Princeton Science Library)	Richard P. Feynman	Princeton University Press (2006), Paperback, 192 pages	2006	0691125759	English	QED: The Strange Theory of Light and Matter (Princeton Science Library) by Richard P. Feynman (2006)
32651623	The Discovery of Subatomic Particles Revised Edition	Steven Weinberg	Cambridge University Press (2003), Edition: 2, Hardcover, 222 pages	2003	052182351X	English	The Discovery of Subatomic Particles Revised Edition by Steven Weinberg (2003)
41789843	From c-Numbers to q-Numbers: The Classical Analogy in the History of Quantum Theory (California Studies in the History of Science)	Olivier Darrigol	University of California Press (1993), Hardcover, 388 pages	1993	0520078225	English	From c-Numbers to q-Numbers: The Classical Analogy in the History of Quantum Theory (California Studies in the History of Science) by Olivier Darrigol (1993)
41789867	Lippincott's Illustrated Reviews: Biochemistry (Lippincott's Illustrated Reviews Series)	Pamela C Champe	Lippincott Williams &amp; Wilkins (2007), Edition: Fourth Edition, Paperback, 528 pages	2007	0781769604	English	Lippincott's Illustrated Reviews: Biochemistry (Lippincott's Illustrated Reviews Series) by Pamela C Champe (2007)
41789886	The Principia : Mathematical Principles of Natural Philosophy	Isaac Newton	University of California Press (1999), Edition: 1, Paperback, 974 pages	1999	0520088174	English	The Principia : Mathematical Principles of Natural Philosophy by Isaac Newton (1999)
41789900	Quantum Mechanics Demystified	David McMahon	McGraw-Hill Professional (2005), Edition: 1, Paperback, 393 pages	2005	0071455469	English	Quantum Mechanics Demystified by David McMahon (2005)
41789904	Classic Feynman: All the Adventures of a Curious Character	Richard P. Feynman	W. W. Norton (2005), Hardcover, 608 pages	2005	0393061329	English	Classic Feynman: All the Adventures of a Curious Character by Richard P. Feynman (2005)
41789953	Source Book in Physics	William F Magie	HARVARD UNIV PRESS (1969), Hardcover	1969	0674823656	English	Source Book in Physics by William F Magie (1969)
41789992	Night Thoughts of a Classical Physicist	Russell McCormmach	Harvard University Press (1991), Paperback, 232 pages	1991	0674624610	English	Night Thoughts of a Classical Physicist by Russell McCormmach (1991)
41790008	Atom: Journey Across the Subatomic Cosmos	Isaac Asimov	Plume (1992), Paperback, 336 pages	1992	0452268346	English	Atom: Journey Across the Subatomic Cosmos by Isaac Asimov (1992)
41790013	From Certainty to Uncertainty: The Story of Science and Ideas in the Twentieth Century	F. David Peat	Joseph Henry Press (2002), Edition: 1, Paperback, 248 pages	2002	0309096200	English	From Certainty to Uncertainty: The Story of Science and Ideas in the Twentieth Century by F. David Peat (2002)
41790017	Encounters with Einstein	Werner Heisenberg	Princeton University Press (1989), Paperback, 152 pages	1989	0691024332	English	Encounters with Einstein by Werner Heisenberg (1989)
41790045	Physics and Beyond: Encounters and Conversations	Werner Heisenberg	Harper&amp;Row (1971), Paperback	1971	0061316229	English	Physics and Beyond: Encounters and Conversations by Werner Heisenberg (1971)
41790053	Physics and Philosophy: The Revolution in Modern Science	Werner Heisenberg	Harper Perennial Modern Classics (2007), Paperback, 256 pages	2007	0061209198	English	Physics and Philosophy: The Revolution in Modern Science by Werner Heisenberg (2007)
41790062	Philosophical Problems of Quantum Physics	Werner Heisenberg	Ox Bow Press (1979), Paperback	1979	0918024153	English	Philosophical Problems of Quantum Physics by Werner Heisenberg (1979)
